code_commune,prix_m2_median_tous,nb_transactions_tous,prix_m2_median_maison,nb_transactions_maison,prix_m2_median_appart,nb_transactions_appart,annee,nom_commune,code_departement
01337,2127.483443708609,7,2127.483443708609,7.0,,,2020,Saint-Bénigne,01
01338,5063.291139240507,13,5063.291139240507,13.0,,,2020,Groslée-Saint-Benoit,01
01343,1792.4832214765102,15,1792.4832214765102,15.0,,,2020,Saint-Cyr-sur-Menthon,01
01344,2035.398230088496,55,2092.1052631578946,38.0,1716.0,17.0,2020,Saint-Denis-lès-Bourg,01
01345,1845.4651162790697,19,2074.678929488773,16.0,1451.4814814814815,3.0,2020,Saint-Denis-en-Bugey,01
01346,1827.5009331840238,14,1929.8245614035088,13.0,1500.0,1.0,2020,Saint-Didier-d'Aussiat,01
01347,2978.260869565217,29,2978.260869565217,29.0,,,2020,Saint-Didier-de-Formans,01
01348,2330.7848194546796,32,2389.830508474576,25.0,1753.246753246753,7.0,2020,Saint-Didier-sur-Chalaronne,01
01349,3303.2258064516127,7,3303.2258064516127,7.0,,,2020,Saint-Éloi,01
01350,2026.6666666666667,29,2031.8518518518517,24.0,1442.7906976744189,5.0,2020,Saint-Étienne-du-Bois,01
01351,2633.333333333333,19,2633.333333333333,19.0,,,2020,Saint-Étienne-sur-Chalaronne,01
01352,1798.9288537549407,6,1798.9288537549407,6.0,,,2020,Saint-Étienne-sur-Reyssouze,01
01353,2996.666666666667,14,3140.8888888888887,11.0,2089.4736842105262,3.0,2020,Sainte-Euphémie,01
01354,4447.368421052632,129,4639.639639639639,35.0,4181.071428571428,94.0,2020,Saint-Genis-Pouilly,01
01355,1112.2424242424242,6,1112.2424242424242,6.0,,,2020,Saint-Genis-sur-Menthon,01
01360,4079.416282642089,12,4079.416282642089,10.0,4077.5862068965516,2.0,2020,Saint-Jean-de-Gonville,01
01361,2530.4166666666665,36,2487.5,15.0,2540.0,21.0,2020,Saint-Jean-de-Niost,01
01363,2043.9473684210525,14,2160.0,13.0,863.6363636363636,1.0,2020,Saint-Jean-le-Vieux,01
01365,2100.0,9,2100.0,9.0,,,2020,Saint-Jean-sur-Veyle,01
01366,2254.635074145712,10,2185.8156028368794,9.0,2386.3636363636365,1.0,2020,Sainte-Julie,01
01367,1303.7974683544303,5,1303.7974683544303,5.0,,,2020,Saint-Julien-sur-Reyssouze,01
01368,2196.482697650922,8,2196.482697650922,8.0,,,2020,Saint-Julien-sur-Veyle,01
01369,2696.1382113821137,8,2696.1382113821137,8.0,,,2020,Saint-Just,01
01370,2372.564935064935,36,1873.684210526316,5.0,2458.333333333333,31.0,2020,Saint-Laurent-sur-Saône,01
01371,3036.9705882352937,16,2753.5093409444735,10.0,3689.344262295082,6.0,2020,Saint-Marcel,01
01373,2438.465044172613,6,2270.5504587155965,5.0,5499.777777777777,1.0,2020,Saint-Martin-du-Frêne,01
01374,2029.4117647058824,16,2156.86274509804,15.0,1379.3103448275865,1.0,2020,Saint-Martin-du-Mont,01
01375,1499.2028985507247,5,1499.2028985507247,5.0,,,2020,Saint-Martin-le-Châtel,01
01376,2765.942028985507,33,3318.803418803419,9.0,2087.209302325581,24.0,2020,Saint-Maurice-de-Beynost,01
01378,2864.406779661017,17,2864.406779661017,17.0,,,2020,Saint-Maurice-de-Gourdans,01
01379,2260.8695652173915,7,2237.905615942029,6.0,4905.66037735849,1.0,2020,Saint-Maurice-de-Rémens,01
01380,1454.4444444444443,7,1454.4444444444443,7.0,,,2020,Saint-Nizier-le-Bouchoux,01
01381,2368.794326241135,15,2368.794326241135,11.0,2625.0,4.0,2020,Saint-Nizier-le-Désert,01
01383,2474.226804123711,9,2474.226804123711,3.0,2218.585271317829,6.0,2020,Saint-Paul-de-Varax,01
01384,1416.6666666666665,24,1520.2127659574467,14.0,1255.952380952381,10.0,2020,Saint-Rambert-en-Bugey,01
01386,1751.6197183098593,14,1603.2307692307693,12.0,2039.5833333333333,2.0,2020,Saint-Sorlin-en-Bugey,01
01388,1592.0168067226891,16,1678.0882352941176,14.0,1062.7062706270626,2.0,2020,Saint-Trivier-de-Courtes,01
01389,2000.0,15,2000.0,15.0,,,2020,Saint-Trivier-sur-Moignans,01
01390,2812.642857142857,8,2569.9155844155844,6.0,4940.836543753439,2.0,2020,Saint-Vulbas,01
01392,909.0909090909092,7,909.0909090909092,7.0,,,2020,Samognat,01
01393,2180.46875,7,1448.2758620689656,5.0,6509.121061359867,2.0,2020,Sandrans,01
01396,1559.139784946237,15,1517.9958183990443,12.0,1646.1538461538462,3.0,2020,Sault-Brénaz,01
01397,4797.2972972972975,11,4797.2972972972975,10.0,5907.876712328767,1.0,2020,Sauverny,01
01398,2678.235294117647,9,2801.5776699029125,7.0,1656.5134099616857,2.0,2020,Savigneux,01
01399,5112.847222222223,36,5069.444444444444,21.0,5156.25,15.0,2020,Ségny,01
01401,4402.985074626866,23,4309.4967532467535,12.0,4402.985074626866,11.0,2020,Sergy,01
01403,1295.9016393442623,10,1295.9016393442623,10.0,,,2020,Serrières-de-Briord,01
01405,1549.5551090700344,6,1682.6923076923076,5.0,905.6603773584906,1.0,2020,Servas,01
01407,2341.934312638581,18,2485.714285714286,6.0,2175.2032520325206,12.0,2020,Seyssel,01
01412,2096.774193548388,6,2096.774193548388,5.0,1185.9166666666667,1.0,2020,Sulignat,01
01416,1375.6410256410256,45,735.7142857142857,13.0,1734.6938775510205,32.0,2020,Tenay,01
01418,4151.381118881119,12,4382.307692307692,11.0,2867.6470588235293,1.0,2020,Thil,01
01419,4292.079207920792,53,4648.7599206349205,30.0,4017.857142857143,23.0,2020,Thoiry,01
01420,1465.0735294117649,20,1172.0394736842104,8.0,1676.4705882352941,12.0,2020,Thoissey,01
