code_departement,prix_m2_median_tous,nb_transactions,prix_m2_median_maison,prix_m2_median_appart,annee
46,1836.734693877551,3749,1821.1920529801323,1932.2857142857144,2023
47,1709.090909090909,7095,1668.752594437526,1880.0,2023
48,1811.9843527738265,1308,1607.304347826087,2285.714285714286,2023
49,2280.054347826087,11847,2098.7654320987654,3076.923076923077,2023
50,1965.909090909091,10035,1886.3636363636365,2800.0,2023
51,2194.1157476403378,7714,1933.3333333333333,2575.0,2023
52,1181.1023622047244,2597,1090.7407407407406,1573.6467236467238,2023
53,1642.857142857143,5601,1517.2745358090187,2432.4324324324325,2023
54,2086.41975308642,11463,1963.0226057365094,2234.0425531914893,2023
55,1225.2166934189408,2946,1144.244105409154,1819.2481203007517,2023
56,2748.048087845513,14838,2479.3388429752067,3555.7393162393164,2023
58,1193.1818181818182,4407,1153.2867132867132,1383.3333333333333,2023
59,2275.862068965517,35128,1975.9518072289156,3321.428571428572,2023
60,2371.8478491205765,10592,2305.0505050505053,2650.0,2023
61,1471.060794044665,5820,1428.571428571429,2013.888888888889,2023
62,1894.621168305379,19282,1752.7954772613693,3250.0,2023
63,2065.9075573549258,11182,1877.112985819328,2291.893939393939,2023
64,2800.378787878788,11780,2475.09375,3453.6878216123496,2023
65,1863.9925373134329,5074,1783.3333333333333,2023.636363636364,2023
66,2562.5,12258,2556.2,2568.181818181818,2023
69,4074.074074074074,24978,4000.0,4100.0,2023
70,1366.6666666666667,3678,1347.6842105263158,1428.571428571429,2023
71,1629.2134831460671,10142,1619.5652173913045,1656.25,2023
72,1716.2162162162165,9941,1644.7368421052631,2099.6607272727274,2023
73,3738.7755102040815,9341,3391.111111111112,3936.170212765957,2023
74,4542.066993464052,15748,4677.304964539007,4480.0,2023
75,9979.166666666666,26944,11564.615384615385,9972.972972972972,2023
76,2300.0,21317,2162.162162162162,2708.333333333333,2023
77,3302.608695652174,19605,3081.122448979592,3657.3849878934625,2023
78,4102.564102564103,16935,3955.555555555556,4241.204917651271,2023
79,1515.1515151515152,7060,1428.7435456110156,2463.279406808224,2023
80,1986.71875,8779,1738.738738738739,3309.0185676392575,2023
81,1911.31498470948,6561,1808.219178082192,2346.6666666666665,2023
82,1983.495145631068,4553,1955.823170731708,2071.825396825397,2023
83,4196.2962962962965,27435,4347.826086956522,4041.6666666666665,2023
84,2954.5454545454545,9130,3111.111111111112,2683.568677792041,2023
85,2580.6451612903224,13530,2434.2105263157896,3483.870967741936,2023
86,1693.548387096774,7793,1548.6725663716811,2436.698717948718,2023
87,1651.4,7233,1540.5405405405406,1885.7142857142856,2023
88,1538.4615384615386,6583,1476.4454875186686,1692.3076923076924,2023
89,1572.5806451612902,6504,1488.888888888889,1929.8245614035088,2023
90,1688.3116883116884,2203,1770.8333333333333,1579.6078431372548,2023
91,3430.232558139535,14977,3571.428571428572,3272.7272727272725,2023
92,6967.741935483871,18885,8006.410256410256,6875.0,2023
93,4156.047077922078,14884,4187.5,4137.931034482759,2023
94,5156.25,14640,5471.217105263158,5086.436781609195,2023
95,3600.0,13621,3777.777777777778,3419.6428571428573,2023
971,3279.310344827586,2237,3192.156862745098,3377.155172413793,2023
972,2941.176470588235,2434,2681.535714285714,3145.1612903225805,2023
973,2807.4626865671644,1097,2751.824817518248,2836.309523809524,2023
974,2800.0,6567,2802.4691358024693,2800.0,2023
01,2622.2361111111113,8646,2533.653846153846,2888.8888888888887,2024
02,1349.1081338195654,7032,1292.134831460674,1866.2790697674416,2024
03,1363.6363636363635,6819,1290.5405405405406,1599.0990990990992,2024
04,2468.303465003465,3462,2573.684210526316,2307.1428571428573,2024
05,2867.391304347826,3381,2810.0,2904.620952380952,2024
06,4886.038961038961,23908,5394.736842105263,4799.285714285715,2024
07,2182.6951291079813,5176,2234.0425531914893,2000.0,2024
08,1348.6238532110092,3691,1289.174107142857,1585.3658536585365,2024
09,1671.3773148148148,3052,1634.6153846153843,1920.5548549810846,2024
10,1631.3894736842105,4546,1523.1788079470198,1833.3333333333333,2024
11,2075.0,8411,1917.6470588235293,2579.7962648556877,2024
12,1705.9859154929577,4579,1543.0335097001764,2025.6410256410256,2024
13,3750.0,26169,4254.772727272728,3484.848484848485,2024
14,2660.0,13793,2368.443480861244,3320.0,2024
15,1454.5454545454545,2412,1403.0,1529.7058823529412,2024
16,1551.2102040816326,5826,1500.0,2177.4193548387098,2024
17,2806.451612903226,12273,2546.842105263158,4000.0,2024
18,1312.5,5657,1260.0,1603.030303030303,2024
19,1607.7829756008073,4754,1529.2173913043478,1920.6349206349207,2024
21,2371.794871794872,8220,2120.769230769231,2555.555555555556,2024
22,2056.6753807683563,11426,1954.0229885057472,2639.1414141414143,2024
23,1037.9746835443038,2443,1000.0,1363.6363636363635,2024
24,1777.7777777777778,8715,1750.0,1971.8309859154929,2024
25,2135.866570453949,7712,1966.0,2290.909090909091,2024
26,2428.5714285714284,7510,2561.1273554256013,2155.320150659134,2024
27,1980.7692307692307,9694,1956.25,2183.75,2024
28,1930.4025764895332,6544,1855.9322033898304,2373.2142857142862,2024
29,2250.0,15300,2201.834862385321,2377.4193548387098,2024
2A,4278.980494966443,2050,4781.929347826087,4015.0,2024
2B,3220.6737096774195,2190,3312.5,3189.655172413793,2024
30,2615.3846153846152,11885,2627.0293270489656,2592.5925925925926,2024
31,2816.6666666666665,18967,2694.4444444444443,2950.0,2024
32,1701.0,3000,1641.7094017094016,1935.483870967742,2024
33,3387.0967741935483,22331,3080.6451612903224,3750.0,2024
34,3284.745614035088,21459,3022.8813559322034,3491.3664596273293,2024
35,2708.712121212121,15278,2335.109220779221,3381.517379679144,2024
36,1159.090909090909,3869,1130.4347826086955,1456.439393939394,2024
37,2344.882516925528,9388,2195.950819672132,2739.1304347826085,2024
